created_at,location,Capres,Tweet,Translation,Compound_Score,Sentiments
Thu Feb 01 23:54:15 +0000 2024,Among the beautiful seas,prabowo,prabowo mundur duluan gak jadi admin kemenhan ngetwit kampanye menteri duga kampanye tengah giat menhan padang cilincing kapal bantu gaza dll integritas,"Prabowo resigns first, doesn't become admin, Ministry of Defense tweets campaign, Minister suspects campaign is currently active to defend Padang, Cilincing, ship aids Gaza, etc., integrity",0.2732,Positif
Thu Feb 01 23:54:04 +0000 2024,-,prabowo,dukung karna nggak suka megawati prabowo sifat ngga suka megawati narsistik kekanak kana ngambekan,"support because I don't like Megawati Prabowo's character, I don't like Megawati, I'm childishly narcissistic, I'm sulking",-0.4624,Negatif
Thu Feb 01 23:54:03 +0000 2024,,prabowo,prabowo subianto kampanye akbar makassar sulawesi selatan,"Prabowo Subianto's Grand Campaign Makassar, South Sulawesi",0.4588,Positif
Thu Feb 01 23:53:59 +0000 2024,,prabowo,mundur prabowo buru jabat,Prabowo resigns in a hurry to take office,-0.3182,Negatif
Thu Feb 01 23:53:53 +0000 2024,,prabowo,prabowo sujud syukur survey hoax,Prabowo bows down in gratitude for survey hoax,0.296,Positif
Thu Feb 01 23:53:50 +0000 2024,"Jakarta Selatan, DKI Jakarta",prabowo,na udzubillahiminzalik hidup penuh buruk timpa prabowo astaghfirullah dukung an es sampe tega prabowo,na udzubillahiminzalik life is full of bad things for Prabowo astaghfirullah support me until I have the heart to Prabowo,0.5267,Positif
Thu Feb 01 23:53:35 +0000 2024,,prabowo,presiden anies rasyid baswedan kampanye ajar ilmu ghibahin paslon,President Anies Rasyid Baswedan's campaign to teach science ghibahin candidate pairs,0.0,Netral
Thu Feb 01 23:53:21 +0000 2024,"Jakarta, Indonesia",prabowo,malang raya dasyaat demokrat menang prabowo presiden bismillah putar lur,"Malang Raya is terrible, the Democrats win, Prabowo, President, Bismillah, turn around",0.1779,Positif
Thu Feb 01 23:53:17 +0000 2024,,prabowo,wes pokok mnang aja lantik milu,It's okay to join,0.4767,Positif
Thu Feb 01 23:53:13 +0000 2024,,prabowo,prabowo gibran harap insan langkah cerah matahari sinar pagi,Prabowo Gibran wishes humanity bright steps in the morning sun,0.5423,Positif
Thu Feb 01 23:52:55 +0000 2024,,prabowo,manut pengalamane bu bupati sidoarjo bupati gresik gus ali deklarasi prabowo gibran,"according to the experience of the regent, as well as the regent of Gresik, Gus Ali's declaration of Prabowo Gibran",0.2732,Positif
Thu Feb 01 23:52:44 +0000 2024,,prabowo,nyata ganjar bneran gak putar dukung lari prabowo pilih prabowo prabowo kalah pilih ganjar gak pilih anis milu ksus ahok bukti tau pndkung anies,"real reward, real reward, don't turn around, support Prabowo's run, vote for Prabowo, Prabowo lose, vote reward, don't vote, Anis Milu, especially Ahok, proof that you know Anies' support",0.8702,Positif
Thu Feb 01 23:52:41 +0000 2024,,prabowo,putus pilih prabowo putar selesai,break up select prabowo play finish,0.34,Positif
Thu Feb 01 23:52:40 +0000 2024,,prabowo,moga prabowo gibran sehat,I hope Prabowo Gibran is healthy,0.6808,Positif
Thu Feb 01 23:52:38 +0000 2024,"Bali, Indonesia",prabowo,imin gak cawapres prabowo gak bikin drama ahy gak cawapres anis bikin drama playing victim,"Imin or not Prabowo's vice presidential candidate won't make a drama, Ahy won't Anis' vice presidential candidate make a drama playing the victim",-0.0772,Negatif
Thu Feb 01 23:52:38 +0000 2024,di hati albedo,prabowo,milih prabowo rata rata bocah tiktok fomo wkwkkwww,choose prabowo average child tiktok fomo wkwkkwww,0.0,Netral
Thu Feb 01 23:52:37 +0000 2024,"Jakarta Timur, DKI Jakarta",prabowo,karu pis geus kolot geus aki,Karu Pis is old and old,0.0,Netral
Thu Feb 01 23:52:31 +0000 2024,,prabowo,nyata ganjar bneran gak putar dukung lari prabowo pilih prabowo prabowo kalah pilih ganjar gak pilih anis milu ksus ahok bukti tau pndkung anies,"real reward, real reward, don't turn around, support Prabowo's run, vote for Prabowo, Prabowo lose, vote reward, don't vote, Anis Milu, especially Ahok, proof that you know Anies' support",0.8702,Positif
Thu Feb 01 23:52:23 +0000 2024,,prabowo,gak tau fakta kasih denial tepat aja percaya prabowo culik aktivis,"I don't know the facts and give denial, but I believe that Prabowo has kidnapped activists",0.0,Netral
Thu Feb 01 23:52:13 +0000 2024,,prabowo,kubu prabowo percaya masyarakat indonesia bodoh bodoh,Prabowo's camp believes that Indonesian society is stupid and stupid,-0.7783,Negatif
Thu Feb 01 23:52:12 +0000 2024,,prabowo,temu live poling hasil agam survey umum tv,live poll meeting results of the TV general survey,0.0,Netral
Thu Feb 01 23:52:07 +0000 2024,,prabowo,sampel desember januari febuari auto bakar survei roy morgan tonton ganjar turun prabowo,sample December January February Auto Burn Survey Roy Morgan Watch Prabowo's reward,0.5719,Positif
Thu Feb 01 23:52:06 +0000 2024,Sungai Penuh,prabowo,bener bener prabowo kayak nggak bedain panglima culik euy,It's true that Prabowo doesn't seem to be any different from the kidnap commanders,0.4215,Positif
Thu Feb 01 23:52:04 +0000 2024,,prabowo,prabowo gibran harap rakyat kecerhan hidup sinar,Prabowo Gibran hopes that people will live brightly,0.6486,Positif
Thu Feb 01 23:52:03 +0000 2024,,prabowo,poles susah klo udah bangkai,It's difficult to polish when it's already dead,-0.7783,Negatif
Thu Feb 01 23:51:54 +0000 2024,Indonesia ,prabowo,moga sehat semangat,have a healthy spirit,0.5267,Positif
Thu Feb 01 23:51:40 +0000 2024,Everywhere,prabowo,emang hak sewot bagus mpud mahfud md mundur kabinet jokodok planga plongo gilir prabowo wowo jenderal kardus mundur,"Indeed, the right to sewot is good MUD Mahfud MD resigns Jokodok Cabinet Planga Plongo Prabowo's turn Wowo General Kardus resigns",-0.1779,Negatif
Thu Feb 01 23:51:28 +0000 2024,,prabowo,prabowo nurut suruh mundur kang parkir alfa,Prabowo complied with the order to step back from Alfa Parking,0.0,Netral
Thu Feb 01 23:51:24 +0000 2024,,prabowo,semangat banget dukung prabowo dukung anies aja pake bahasa sindir tadz emang banding kah prabowo vs anies timbang juang aneh,"I'm really enthusiastic about supporting Prabowo, just supporting Anies, using sarcastic language, tadz, is the comparison between Prabowo and Anies a strange fight?",0.6318,Positif
Thu Feb 01 23:51:17 +0000 2024,,prabowo,program nasional hajat sunat kampung nasi kotak kagak program,The national program for circumcision of rice box villages is not a program,0.0,Netral
Thu Feb 01 23:49:54 +0000 2024,,prabowo,gin ngimpi makan singkong mangkrak,I dreamed of eating stalled cassava,-0.2023,Negatif
Thu Feb 01 23:49:53 +0000 2024,Jawa Tulen,prabowo,wkwkwkkwk tpi demokrat ttp pilih prabowo,wkwkwkwk but the democrats still chose Prabowo,0.0,Netral
Thu Feb 01 23:49:51 +0000 2024,,prabowo,nahlu bayangin pas bangun prabowo bilang gin sorry yeee joget pensil inul,Nahlu imagine when he woke up Prabowo said gin sorry yeee dance pencil inul,-0.0772,Negatif
Thu Feb 01 23:49:50 +0000 2024,Bla Bla Bla Bla,prabowo,kemarin hoaks stroke lari rspad sorry prabowo fine aja hadir daerah safari kampanye proses pesta demokrasi beliau sabar jalan kudeta makzul presiden,yesterday hoax stroke ran rspad sorry prabowo fine just attend safari area campaign process democratic party he was patient in carrying out the coup impeach the president,0.2732,Positif
Thu Feb 01 23:49:49 +0000 2024,"Dalem Kabagongan, Krg Kedempel",prabowo,kaget heran prabowo mundur bagong takjub,"shocked, surprised, Prabowo stepped back, amazed",0.4215,Positif
Thu Feb 01 23:49:49 +0000 2024,,prabowo,wowo stroke,stroke,0.0,Netral
Thu Feb 01 23:49:38 +0000 2024,,prabowo,all in abangkuu,all in my brother,0.0,Netral
Thu Feb 01 23:49:31 +0000 2024,Indonesia,prabowo,waooo nihh cc,"Wow, CC",0.5859,Positif
Thu Feb 01 23:49:29 +0000 2024,,prabowo,yu mundur ajaa,U Mundar Aja,0.0,Netral
Thu Feb 01 23:49:23 +0000 2024,,prabowo,emang prabowo anies ganjar menang duit doang pintar menang anies debat aja prabowo kalah telak,"Indeed, Prabowo Anies was rewarded for winning money but he was smart enough to win the debate, but Prabowo lost badly",0.714,Positif
Thu Feb 01 23:49:18 +0000 2024,Sarana Sambung Rasa ,prabowo,soliditas riang siang malam menang prabowo gibran putar gibrangibran,cheerful solidity day and night wins prabowo gibran turn gibrangibran,0.802,Positif
Thu Feb 01 23:49:09 +0000 2024,,prabowo,gajah,elephant,0.0,Netral
Thu Feb 01 23:49:08 +0000 2024,"DKI Jakarta, Indonesia",prabowo,fikir lisan gestur tubuh,thought verbal body gestures,0.0,Netral
Thu Feb 01 23:49:02 +0000 2024,Jakarta Timur,prabowo,muhaimin cari kambing hitam gagal prabowo tuk cawapres,Muhaimin looks for a scapegoat for Prabowo's failure as vice presidential candidate,-0.7184,Negatif
Thu Feb 01 23:48:29 +0000 2024,INDONESIA,prabowo,jujur degdegan prabowo bikin statement,"Honestly, Prabowo is nervous about making a statement",0.2263,Positif
Thu Feb 01 23:48:24 +0000 2024,"Surabaya, Indonesia",prabowo,izin tag,izin tag,0.0,Netral
Thu Feb 01 23:48:22 +0000 2024,,prabowo,gibran ban bal an bin bauroh,gibran ban bal an bin bauroh,-0.5574,Negatif
Thu Feb 01 23:48:19 +0000 2024,Bojong Kulur,prabowo,konsekwensi maju teknologi medsos salah satu manusia sulit beda realita halusinasi,"As a consequence of advancing social media technology, it is difficult for humans to differentiate between hallucinatory realities",-0.3612,Negatif
Thu Feb 01 23:47:52 +0000 2024,"DKI Jakarta, Indonesia",prabowo,teriak putar mksdnya prabowo putar aja putar nonton tipi debat capres wkwkwkw,Shouting turn around means Prabowo just turn around and watch TV at the presidential candidate debate hahaha,0.5574,Positif
Thu Feb 01 23:47:48 +0000 2024,,prabowo,kaset goreng prabowo jahat ham lolos calon presiden tahun presiden megawati dll buat presiden panglima tinggi republik,"Prabowo's fried tapes are evil, ham passes for presidential candidates in President Megawati's year, etc. for president, supreme commander of the republic",-0.2023,Negatif
Thu Feb 01 23:44:42 +0000 2024,,prabowo,silah aja kampanye rakyat pintar presiden kampanye ndasmu etik prabowo presiden harap terkahir rakyat laku kaya haus kuasa,"just go ahead, the smart people's presidential campaign, your ndas campaign, Prabowo's ethics, the president's final hope is that the people act like they're thirsty for power",0.7964,Positif
Thu Feb 01 23:43:55 +0000 2024,,prabowo,putar anies rapat prabowo,turn Anies at Prabowo's meeting,0.0,Netral
Thu Feb 01 23:43:25 +0000 2024,"Tangerang Selatan, Indonesia",prabowo,pahlawan culik,kidnap hero,0.5574,Positif
Thu Feb 01 23:43:00 +0000 2024,,prabowo,satu hilang hak azasi manuasia mencjlik kembali va kalah enghilangkan nyawa,one lost human rights kidnapped back va lost lost lives,-0.7096,Negatif
Thu Feb 01 23:42:16 +0000 2024,,prabowo,isi kampanye prabowo buka curhat joget joget tutup tentu pilih dungu ubah istanapanik istanapanik,contents of Prabowo's campaign open confide dance dance close of course choose stupid change palace panic palace panic,-0.875,Negatif
Thu Feb 01 23:42:12 +0000 2024,,prabowo,bupati sidoarjo deklarasi dukung prabowo gibran geledah kpk,Sidoarjo Regent declares support for Prabowo Gibran to search KPK,0.4019,Positif
Thu Feb 01 23:42:11 +0000 2024,,prabowo,dorong menang prabowo gibran dorong linier dukung suara partai golkar airlangga kunjung konsolidasi golkar sulsel kamis februari lengkap,push to win prabowo gibran push linear support vote of golkar party airlangga visit golkar consolidation south sulsel thursday february complete,0.8481,Positif
Thu Feb 01 23:42:07 +0000 2024,Jogja,prabowo,prabowo,Prabowo,0.0,Netral
Thu Feb 01 23:42:04 +0000 2024,,prabowo,mantap prabowo menang survey pilpres selamat,"great, Prabowo wins the presidential election survey, congratulations",0.9136,Positif
Thu Feb 01 23:41:57 +0000 2024,Indonesia,prabowo,bowo suci seduniaaa,world holy bowo,0.0,Netral
Thu Feb 01 23:41:55 +0000 2024,,prabowo,ajar pikir cerdas paham lawan bicara masalah hilir ugalan shg ganggu rusak ekosistem ekologi,"teach to think intelligently, understand your opponent's downstream problems, be reckless and disrupt the ecological ecosystem",-0.34,Negatif
Thu Feb 01 23:41:52 +0000 2024,,prabowo,tkn kecam hoaks prabowo rawat rspad kampanye hitam,TKN condemns Prabowo's hoaxes and maintains black campaign for RSPAD,-0.5106,Negatif
Thu Feb 01 23:41:35 +0000 2024,,prabowo,kondisi tt gin udh njelasin data ngasih fakta balesannya argumen gak ngaruh tetep all in prabowo goblok nama,"PT Gin's condition has explained the data, given the facts, the reply, the argument doesn't matter, it's still all in, Prabowo is a stupid name",-0.7162,Negatif
Thu Feb 01 23:41:31 +0000 2024,Jakarta,prabowo,menang kuasa pajang,win display power,0.5859,Positif
Thu Feb 01 23:41:28 +0000 2024,,prabowo,jumowo legowo prabowo,jumowo legowo prabowo,0.0,Netral
Thu Feb 01 23:41:24 +0000 2024,"Bekasi Selatan, Indonesia",prabowo,insha allah putar ngitungnya gampang pilih prabowo militan oposisi anggap oposisi anis dukung pkb nasdem pilih jokowi kecewa minimal minimal menang anis kisar,"God willing, it's easy to calculate, vote for Prabowo, opposition militants think the opposition Anis supports PKB Nasdem, vote for Jokowi, disappointed, at least Anis Kisar wins",0.7964,Positif
Thu Feb 01 23:41:13 +0000 2024,Indonesia,prabowo,prabowo pimpin rakyat indonesia,Prabowo leads the Indonesian people,0.0,Netral
Thu Feb 01 23:41:01 +0000 2024,,prabowo,prabowo gibran cocok layak pimpin negeri,Prabowo Gibran is fit to lead the country,0.3612,Positif
Thu Feb 01 23:41:01 +0000 2024,,prabowo,sebenernya jokowi manfaatin prabowo prabowo manfaatin jokowi,"Actually, Jokowi is taking advantage of Prabowo. Prabowo is taking advantage of Jokowi",0.4588,Positif
Thu Feb 01 23:41:01 +0000 2024,,prabowo,kasi prabowo renta dipaksain nyapres tua sakit sakit juang maksimal ilahi jilat koruptor,"Kasi Prabowo, old, forced to run for president, old, sick, sick, fighting to the maximum, divine licking of corruptors",-0.8176,Negatif
Thu Feb 01 23:41:00 +0000 2024,,prabowo,gagah versi pothosop,dashing photoshop version,0.0,Netral
Thu Feb 01 23:40:49 +0000 2024,,prabowo,,in,0.0,Netral
Thu Feb 01 23:40:36 +0000 2024,"Jakarta, Indonesia",prabowo,geledah kpk bupati sidoarjo pimpin deklarasi prabowo gibran,Sidoarjo regent's KPK search led to Prabowo Gibran's declaration,0.0,Netral
Thu Feb 01 23:40:34 +0000 2024,Kandahar - Afghanistan,prabowo,mundur kecut prabowo mati rakyat,Prabowo's bitter retreat killed the people,-0.7579,Negatif
Thu Feb 01 23:40:19 +0000 2024,"Jakarta Selatan, DKI Jakarta",prabowo,kyai doa gimana prabowo presiden malapetaka bangsa indonesia,Kyai prays for how Prabowo is a disaster for the Indonesian nation,-0.4019,Negatif
Thu Feb 01 23:40:18 +0000 2024,,prabowo,rakyat pintar pas milu gak bohong bansos blt sembako pengin rakyat pintar,"People are smart when they're suffering, don't lie, social assistance and basic necessities want people to be smart",0.3818,Positif
Thu Feb 01 23:40:13 +0000 2024,Indonesia,prabowo,duga curang milu tkn prabowo gibran adu ppln malaysia bawaslu mediainformasi,Alleged cheating Milu TKN Prabowo Gibran fights PPLN Malaysia Bawaslu Mediainfo,-0.743,Negatif
Thu Feb 01 23:40:13 +0000 2024,krazy mountain,prabowo,ngga bayang klo kasih menang prabowo sakit bawa negeri wajah indonesia dunia,"I can't imagine if Prabowo won, it would hurt to make Indonesia the face of the world",0.0772,Positif
Thu Feb 01 23:40:08 +0000 2024,"Jawa Tengah, Indonesia",prabowo,baca biar tau turun tangkap diponegoro,Read it so you know how to catch Diponegoro,0.0,Netral
Thu Feb 01 23:40:06 +0000 2024,Ø¬Ø§ÙØ±ØªØ§  Ø¥ÙØ¯ÙÙÙØ³ÙØ§,prabowo,agenda sempit banget satu satu indonesia abai anggap apa banding satu,"The agenda is really narrow, one on one Indonesia, don't consider what is one against one",0.0,Netral
Thu Feb 01 23:39:59 +0000 2024,Indonesia,prabowo,prabowo gila jabat,Prabowo is crazy about office,-0.34,Negatif
Thu Feb 01 23:39:55 +0000 2024,,prabowo,prof mahfud md resmi aju surat undur jabat menkopolhukam indonesia surat undur serah presiden prabowo gibran mundur malu jokowigantiganjar tabrakprofmahfud topgansatst ganjarmahfud,"Prof. Mahfud MD officially submits his letter of resignation from his post as Coordinating Minister for Political, Legal and Security Affairs of Indonesia. Letter of resignation handed over to President Prabowo Gibran.",-0.128,Negatif
Thu Feb 01 23:39:49 +0000 2024,,prabowo,nusron makan bakso magelang efektif tambah suara makan siang bakso prabowo jokowi prabowogibran prabowo gibran magelang nusronwahid kumpar,nusron eat meatballs magelang effectively add votes eat meatball lunch prabowo jokowi prabowogibran prabowo gibran magelang nusronwahid kumpar,0.4404,Positif
Thu Feb 01 23:39:39 +0000 2024,,prabowo,dukung ganjar mendo moga prabowo lekas sembuh sehat,Support Ganjar Mendo and hope Prabowo recovers quickly and healthy,0.8074,Positif
Fri Feb 02 23:59:59 +0000 2024,"ÃT: -6.225164,106.805646",prabowo,match fun futsal malam gbk riah matchfunfutsal gibran baimwong promedia prabowo,match fun futsal night gbk riah matchfunfutsal gibran baimwong promedia prabowo,0.5106,Positif
Fri Feb 02 23:59:55 +0000 2024,,prabowo,rakyat hidup ngontrak beli rumah rakyat nanyain ada anak hilang rakyat takut protes ngasih nilai jelek jabat kaya raya baperan pdhl prabowo kasih nilao aja tetep msh kaya raya,"people live by renting and buying houses, people ask if there are missing children, people are afraid of protesting, giving bad grades, being rich, being rich, even if Prabowo just gives a value, he's still rich.",0.7964,Positif
Fri Feb 02 23:59:49 +0000 2024,,prabowo,ancam prabowo rugi dn dosa bunuh islam taat dn bertaqwa percaya awal bpk aman spr ketat,"Prabowo threatens loss and sin of killing Islam is obedient and devout, believe in the beginning, the father is safe, strict spr",-0.875,Negatif
Fri Feb 02 23:59:49 +0000 2024,,prabowo,budiman kampanye prabowo aneh,Budiman Prabowo's campaign is strange,-0.2023,Negatif
Fri Feb 02 23:59:49 +0000 2024,,prabowo,nggk dukung program jokowi prabowo lanjut program jabat selesai nomor no memporak porandakan program jokowi waktu gub jakarta program ahok bagus hancur emang nggk,Didn't support Jokowi Prabowo's program to continue program in office finished number no destroyed Jokowi's program when Jakarta Governor Ahok's good program was destroyed or not?,0.0951,Positif
Fri Feb 02 23:59:47 +0000 2024,,prabowo,ikut jejak tinggal gorong gorong bom gas,"follow the trail, just follow the gas bomb tunnel",-0.4939,Negatif
Fri Feb 02 23:59:46 +0000 2024,,prabowo,peryataan guru aje dongo kau ingkar,Just ignore the teacher's statement,-0.3612,Negatif
Fri Feb 02 23:59:30 +0000 2024,"Pekalongan, Indonesia",prabowo,alhamdulillah moga sehat wa afiah,"Thank God, I hope you are healthy, Wa Afiah",0.8481,Positif
Fri Feb 02 23:59:23 +0000 2024,,prabowo,indonesia presiden prabowo sang gladiator rang antek asing,"Indonesian President Prabowo, the gladiator and foreign minions",0.0,Netral
Fri Feb 02 23:59:22 +0000 2024,madiun,prabowo,gak soeharto aja gusdurian aja gerbong belah,Soeharto didn't just drive a split carriage,0.0,Netral
Fri Feb 02 23:59:22 +0000 2024,,prabowo,ngerti biar alloh swt tentu tuk indonesia bu gibran presiden clear rela,"Understand, let Allah SWT be clear for Indonesia, Mrs. Gibran, the president is willing",0.3818,Positif
Fri Feb 02 23:59:20 +0000 2024,Brunei,prabowo,coba tribun real,try real stands,0.0,Netral
Fri Feb 02 23:59:08 +0000 2024,,prabowo,omong habib bahar smith bukti jilat,Habib Bahar Smith's talk is proof of licking,0.0,Netral
Fri Feb 02 23:58:48 +0000 2024,"Milan, Lombardy",prabowo,ton bostekata amp waton muni ndobos bantesekarang kayak malaikat suci,ton bostekata amp waton sounds like a holy angel,0.3612,Positif
Fri Feb 02 23:58:39 +0000 2024,Indonesia,prabowo,prabowo sosok panutan calon pimpin baik dunian,Prabowo is a role model for future good leaders in the world,0.4404,Positif
Fri Feb 02 23:58:34 +0000 2024,,prabowo,ahoket ahoker pilih bener aja rugi,ahoket ahoker just choose to lose,-0.4019,Negatif
Fri Feb 02 23:58:22 +0000 2024,"Kota Surabaya, Jawa Timur",prabowo,soal etika sergah ndasmu etik,Ethical matters are ethical,0.7717,Positif
Fri Feb 02 23:58:15 +0000 2024,"depok, jawa barat",prabowo,dukung bpk anis baswedan,support Mr Anies Baswedan,0.4019,Positif
Fri Feb 02 23:58:07 +0000 2024,Weltevreden,prabowo,isu palestina prabowo amrik pikir two state solution jajah,"The Palestinian issue, Prabowo, America thinks of a two-state solution, colonialism",0.3182,Positif
Fri Feb 02 23:58:04 +0000 2024,unlabeled ,prabowo,presiden kirain netral condong,The president thinks he is neutral,0.0,Netral
Fri Feb 02 23:58:00 +0000 2024,,prabowo,prabowo menang israel menang liat palestina tindas hancur musnah gass pilih prabowo,"Prabowo wins, Israel wins as Palestine is oppressed destroyed and destroyed, gass chooses Prabowo",-0.2732,Negatif
Fri Feb 02 23:57:53 +0000 2024,,prabowo,tulus cinta amp hati prabowo titiek soeharto,Sincere love & heart of Prabowo Titiek Soeharto,0.9022,Positif
Fri Feb 02 23:57:43 +0000 2024,"Cibeunying Kidul, Indonesia",prabowo,prabowo mundur,Prabowo steps down,0.0,Netral
Fri Feb 02 23:57:42 +0000 2024,,prabowo,zetsu putih gitu benci prabowo jokowi sok bener,White Zetsu hates Prabowo Jokowi and pretends to be right,-0.5106,Negatif
Fri Feb 02 23:57:38 +0000 2024,,prabowo,udah block tu akun buzzer prabowo emang tolol,"I've blocked Prabowo's buzzer account, that's really stupid",-0.6997,Negatif
Fri Feb 02 23:57:28 +0000 2024,,prabowo,mobil pribadi prabowo pakai dinas platnya aja ganti merah cek bos posting ngawurrr sorry yee sorry yee all in prabowo gibran gaspoll,"Prabowo's private car uses official plates, just change it to red, check boss, post is incoherent sorry yee sorry yee all in prabowo gibran gaspoll",-0.1531,Negatif
Fri Feb 02 23:57:25 +0000 2024,Somewhere over the rainbow ,prabowo,acara malam bilang ayom presiden pilih,"the evening program said come on, choose the president",0.0,Netral
Fri Feb 02 23:57:23 +0000 2024,,prabowo,njir nyolottt,njir nyolottt,0.0,Netral
Fri Feb 02 23:54:39 +0000 2024,Indonesia,prabowo,buset mc koq nekat teriak acara konser tulul,"Buset MC, how dare he shout at the Tulul concert",0.0,Netral
Fri Feb 02 23:54:39 +0000 2024,"Kebayoran Lama, Indonesia",prabowo,sikap rakyat prabowo cermin tulus dengar keluh aspirasi rakyat cipta percaya suara dengar,"Prabowo's people's attitude is a reflection of being sincere in listening to the people's aspirations, creating confidence in hearing their voices",0.802,Positif
Fri Feb 02 23:54:38 +0000 2024,Here there and everywhere,prabowo,ngelempar jendela mobil kuyus ngelempar sunroof gemoy beda tipis,"throwing away the dingy car window, throwing away the shiny sunroof, the difference is thin",0.0,Netral
Fri Feb 02 23:54:37 +0000 2024,"dumai, indonesia",prabowo,turun bangsa arab pikir maju sebar seluruh nusantara lawan jajah timbul merdeka juang kecuali turun cina gabung,"down, the Arabs think forward, spread throughout the archipelago, the opposing colonialists emerge, fight for independence, unless China joins in",-0.3818,Negatif
Fri Feb 02 23:54:15 +0000 2024,,prabowo,pantes dukung prabowo,It's worth supporting Prabowo,0.5859,Positif
